"postcode","street","town","country"
0372,BUREAU DE POSTE RUMELANGE (PACK UP),RUMELANGE,LUXEMBOURG
0381,24/24 SCHIFFLANGE (PACK UP),SCHIFFLANGE,LUXEMBOURG
0382,BUREAU DE POSTE SCHIFFLANGE (PACK UP),SCHIFFLANGE,LUXEMBOURG
0383,TABAC (PACK UP ESPACE),FOETZ,LUXEMBOURG
0391,BUREAU DE POSTE MONDERCANGE (PACK UP),MONDERCANGE,LUXEMBOURG
0401,BUREAU DE POSTE ESCH-CENTRE (PACK UP),ESCH-SUR-ALZETTE,LUXEMBOURG
0402,BUREAU DE POSTE ESCH-NORD (PACK UP),ESCH-SUR-ALZETTE,LUXEMBOURG
0403,PAPETERIE-LIBRAIRIE CLAIR-CHENE (PACK UP),ESCH-SUR-ALZETTE,LUXEMBOURG
0421,24/24 ESCH-SUR-ALZETTE (PACK UP),ESCH-SUR-ALZETTE,LUXEMBOURG
0441,24/24 BELVAUX (PACK UP),BELVAUX,LUXEMBOURG
0442,LIBRAIRIE DE L'ECOLE (PACK UP),BELVAUX,LUXEMBOURG
0443,BUREAU DE POSTE BELVAUX (PACK UP),BELVAUX,LUXEMBOURG
0445,24/24 SOLEUVRE (PACK UP),SOLEUVRE,LUXEMBOURG
0446,POSTSHOP SOLEUVRE (PACK UP),SOLEUVRE,LUXEMBOURG
0451,BUREAU DE POSTE OBERKORN (PACK UP),OBERKORN,LUXEMBOURG
0453,BUREAU DE POSTE DIFFERDANGE (PACK UP),DIFFERDANGE,LUXEMBOURG
0461,MAGASIN POULLIG (PACK UP),NIEDERKORN,LUXEMBOURG
0462,STATION-SERVICE ESSO (PACK UP),DIFFERDANGE,LUXEMBOURG
0463,STATION-SERVICE ARAL (PACK UP),DIFFERDANGE,LUXEMBOURG
0464,BUREAU DE POSTE NIEDERKORN (PACK UP),NIEDERKORN,LUXEMBOURG
0471,BUREAU DE POSTE PETANGE (PACK UP),PETANGE,LUXEMBOURG
0481,STATION-SERVICE ESSO (PACK UP),RODANGE,LUXEMBOURG
0482,BUREAU DE POSTE RODANGE (PACK UP),RODANGE,LUXEMBOURG
0491,STATION-SERVICE Q8 (PACK UP),SCHOUWEILER,LUXEMBOURG
0492,LIBRAIRIE GEKA (PACK UP),CLEMENCY,LUXEMBOURG
0493,BUREAU DE POSTE BASCHARAGE-GUICHETS (PACK UP),BASCHARAGE,LUXEMBOURG
0494,24/24 BASCHARAGE (PACK UP),BASCHARAGE,LUXEMBOURG
0521,BUREAU DE POSTE SANDWEILER (PACK UP),SANDWEILER,LUXEMBOURG
0531,METZLEREI SAUBER (PACK UP),MOUTFORT,LUXEMBOURG
0551,ESSO (PACK UP STATION-SERVICE),REMICH,LUXEMBOURG
0552,BUREAU DE POSTE REMICH-GUICHETS (PACK UP),REMICH,LUXEMBOURG
0553,24/24 REMICH (PACK UP),REMICH,LUXEMBOURG
0561,STATION-SERVICE TOTAL (PACK UP),MONDORF-LES-BAINS,LUXEMBOURG
0562,BUREAU DE POSTE MONDORF-LES-BAINS (PACK UP),MONDORF-LES-BAINS,LUXEMBOURG
0581,STATION-SERVICE Q8 (PACK UP),HESPERANGE,LUXEMBOURG
0582,BUREAU DE POSTE HESPERANGE (PACK UP),HESPERANGE,LUXEMBOURG
0583,24/24 HESPERANGE (PACK UP),HESPERANGE,LUXEMBOURG
0611,BUREAU DE POSTE JUNGLINSTER-GUICHETS (PACK UP),JUNGLINSTER,LUXEMBOURG
0612,24/24 JUNGLINSTER (PACK UP),JUNGLINSTER,LUXEMBOURG
0641,STATION-SERVICE Q8 (PACK UP),ECHTERNACH,LUXEMBOURG
0642,BUREAU DE POSTE ECHTERNACH (PACK UP),ECHTERNACH,LUXEMBOURG
0643,24/24 ECHTERNACH (PACK UP),ECHTERNACH,LUXEMBOURG
0661,BUREAU DE POSTE WASSERBILLIG (PACK UP),WASSERBILLIG,LUXEMBOURG
0662,ZEIDUNGSBUTTEK CLAUDE WEBER (PACK UP),WASSERBILLIG,LUXEMBOURG
0671,BUREAU DE POSTE GREVENMACHER (PACK UP),GREVENMACHER,LUXEMBOURG
0672,24/24 GREVENMACHER (PACK UP),GREVENMACHER,LUXEMBOURG
0691,BUREAU DE POSTE NIEDERANVEN (PACK UP),NIEDERANVEN,LUXEMBOURG
0692,24/24 NIEDERANVEN (PACK UP),NIEDERANVEN,LUXEMBOURG
0721,BUREAU DE POSTE BERELDANGE (PACK UP),BERELDANGE,LUXEMBOURG
0722,24/24 BERELDANGE (PACK UP),BERELDANGE,LUXEMBOURG
0751,ZEITUNGSBUTTEK (PACK UP),MERSCH,LUXEMBOURG
0752,BUREAU DE POSTE MERSCH (PACK UP),MERSCH,LUXEMBOURG
0753,24/24 MERSCH (PACK UP),MERSCH,LUXEMBOURG
0761,BUREAU DE POSTE LAROCHETTE (PACK UP),LAROCHETTE,LUXEMBOURG
0763,ESSO (PACK UP 24/24 STATION-SERVICE),LAROCHETTE,LUXEMBOURG
0771,BUREAU DE POSTE COLMAR-BERG (PACK UP),COLMAR-BERG,LUXEMBOURG
0772,COLMAR-BERG (PACK UP 24/24),COLMAR-BERG,LUXEMBOURG
0801,ZEITUNGSBUTTEK AM WENKEL (PACK UP),BERTRANGE,LUXEMBOURG
0802,BUREAU DE POSTE BERTRANGE (PACK UP),BERTRANGE,LUXEMBOURG
0803,BUREAU DE POSTE STRASSEN (PACK UP),STRASSEN,LUXEMBOURG
0804,BUREAU DE POSTE HELFENT-BERTRANGE (PACK UP),BERTRANGE,LUXEMBOURG
0805,24/24 STRASSEN (PACK UP),STRASSEN,LUXEMBOURG
0806,24/24 CONCORDE (PACK UP),BERTRANGE,LUXEMBOURG
0811,STATION-SERVICE Q8 (PACK UP),BRIDEL,LUXEMBOURG
0812,24/24 BRIDEL (PACK UP),BRIDEL,LUXEMBOURG
0821,BUREAU DE POSTE MAMER (PACK UP),MAMER,LUXEMBOURG
0822,BOULANGERIE MOLITOR (PACK UP),MAMER,LUXEMBOURG
0823,POSTSHOP KEHLEN (PACK UP),KEHLEN,LUXEMBOURG
0831,MATHGEN (PACK UP EPICERIE),HOBSCHEID,LUXEMBOURG
0832,STATION-SERVICE TOTAL (PACK UP),WINDHOF,LUXEMBOURG
0833,BUREAU DE POSTE CAPELLEN (PACK UP),CAPELLEN,LUXEMBOURG
0841,BUREAU DE POSTE STEINFORT (PACK UP),STEINFORT,LUXEMBOURG
0852,BUREAU DE POSTE REDANGE-SUR-ATTERT (PACK UP),REDANGE-SUR-ATTERT,LUXEMBOURG
0853,POSTSHOP OBERPALLEN (PACK UP),OBERPALLEN,LUXEMBOURG
0854,POSTSHOP NOERDANGE (PACK UP),NOERDANGE,LUXEMBOURG
0861,POSTSHOP PRATZ (PACK UP),PRATZ,LUXEMBOURG
0881,BOULANGERIE JOS ET JEAN-MARIE (PACK UP),RAMBROUCH,LUXEMBOURG
0901,STATION-SERVICE GULF (PACK UP),ETTELBRUCK,LUXEMBOURG
0902,EUROBUTTEK LOSCHEIDER (PACK UP),ETTELBRUCK,LUXEMBOURG
0903,BUREAU DE POSTE ETTELBRUCK (PACK UP),ETTELBRUCK,LUXEMBOURG
0904,24/24 ETTELBRUCK (PACK UP),ETTELBRUCK,LUXEMBOURG
0911,POSTSHOP INGELDORF (PACK UP),INGELDORF,LUXEMBOURG
0912,POSTSHOP HEIDERSCHEID (PACK UP),HEIDERSCHEID,LUXEMBOURG
0913,POSTSHOP MERTZIG (PACK UP),MERTZIG,LUXEMBOURG
0921,BUREAU DE POSTE DIEKIRCH (PACK UP),DIEKIRCH,LUXEMBOURG
0922,24/24 DIEKIRCH (PACK UP),DIEKIRCH,LUXEMBOURG
0942,BUREAU DE POSTE VIANDEN (PACK UP),VIANDEN,LUXEMBOURG
0951,STATION-SERVICE GULF (PACK UP),WILTZ,LUXEMBOURG
0952,BUREAU DE POSTE WILTZ (PACK UP),WILTZ,LUXEMBOURG
0953,24/24 WILTZ (PACK UP),WILTZ,LUXEMBOURG
0961,BOULANGERIE JOS ET JEAN-MARIE (PACK UP),HARLANGE,LUXEMBOURG
0971,POSTSHOP MARNACH (PACK UP),MARNACH,LUXEMBOURG
0972,BUREAU DE POSTE CLERVAUX (PACK UP),CLERVAUX,LUXEMBOURG
0973,POSTSHOP WINCRANGE (PACK UP),WINCRANGE,LUXEMBOURG
0981,BUREAU DE POSTE HOSINGEN (PACK UP),HOSINGEN,LUXEMBOURG
0982,24/24 HOSINGEN (PACK UP),HOSINGEN,LUXEMBOURG
0991,SHOPPING CENTER MASSEN (PACK UP),WEMPERHARDT,LUXEMBOURG
0992,PAPETERIE MERTENS (PACK UP),TROISVIERGES,LUXEMBOURG
0993,BUREAU DE POSTE TROISVIERGES (PACK UP),TROISVIERGES,LUXEMBOURG
0994,POSTSHOP WEISWAMPACH (PACK UP),WEISWAMPACH,LUXEMBOURG
0995,24/24 WEISWAMPACH (PACK UP),WEISWAMPACH,LUXEMBOURG
1009,POSTE RESTANTE LUXEMBOURG-GARE,LUXEMBOURG,LUXEMBOURG
1010,BOITES POSTALES N° 1000-1099,LUXEMBOURG,LUXEMBOURG
1011,BOITES POSTALES N° 1100-1199,LUXEMBOURG,LUXEMBOURG
1012,BOITES POSTALES N° 1200-1299,LUXEMBOURG,LUXEMBOURG
1013,BOITES POSTALES N° 1300-1399,LUXEMBOURG,LUXEMBOURG
1014,BOITES POSTALES N° 1400-1499,LUXEMBOURG,LUXEMBOURG
1015,BOITES POSTALES N° 1500-1599,LUXEMBOURG,LUXEMBOURG
1016,BOITES POSTALES N° 1600-1699,LUXEMBOURG,LUXEMBOURG
1017,BOITES POSTALES N° 1700-1799,LUXEMBOURG,LUXEMBOURG
1018,BOITES POSTALES N° 1800-1899,LUXEMBOURG,LUXEMBOURG
1019,BOITES POSTALES N° 1900-1999,LUXEMBOURG,LUXEMBOURG
1020,BOITES POSTALES N° 2000-2099,LUXEMBOURG,LUXEMBOURG
1021,BOITES POSTALES N° 2100-2199,LUXEMBOURG,LUXEMBOURG
1022,BOITES POSTALES N° 2200-2299,LUXEMBOURG,LUXEMBOURG
1023,BOITES POSTALES N° 2300-2399,LUXEMBOURG,LUXEMBOURG
1024,BOITES POSTALES N° 2400-2499,LUXEMBOURG,LUXEMBOURG
1025,BOITES POSTALES N° 2500-2599,LUXEMBOURG,LUXEMBOURG
1026,BOITES POSTALES N° 2600-2699,LUXEMBOURG,LUXEMBOURG
1027,BOITES POSTALES N° 2700-2799,LUXEMBOURG,LUXEMBOURG
1028,BOITES POSTALES N° 2800-2899,LUXEMBOURG,LUXEMBOURG
1029,BOITES POSTALES N° 2900-2999,LUXEMBOURG,LUXEMBOURG
1030,BOITES POSTALES N° 3000-3099,LUXEMBOURG,LUXEMBOURG
1050,BOITES POSTALES N° 5000-5099,LUXEMBOURG,LUXEMBOURG
1090,FINANCE (POST),LUXEMBOURG,LUXEMBOURG
1110,AEROPORT DE LUXEMBOURG,FINDEL,LUXEMBOURG
1111,ABATTOIR (RUE DE L'),LUXEMBOURG,LUXEMBOURG
1112,ACIERIE (RUE DE L'),LUXEMBOURG,LUXEMBOURG
1113,MACADAM (RUE JOHN L),LUXEMBOURG,LUXEMBOURG
1114,ADAMES (RUE NICOLAS),LUXEMBOURG,LUXEMBOURG
1115,ADENAUER (BOULEVARD KONRAD),LUXEMBOURG,LUXEMBOURG
1116,ADOLPHE (RUE),LUXEMBOURG,LUXEMBOURG
1117,ALBERT IER (RUE),LUXEMBOURG,LUXEMBOURG
1117,IER (RUE ALBERT),LUXEMBOURG,LUXEMBOURG
1118,ALDRINGEN (RUE),LUXEMBOURG,LUXEMBOURG
1119,ALE WEE,LUXEMBOURG,LUXEMBOURG
1120,ALLAMONT (RUE D'),LUXEMBOURG,LUXEMBOURG
1121,ALOUETTES (RUE DES),LUXEMBOURG,LUXEMBOURG
1122,ALSACE (RUE D'),LUXEMBOURG,LUXEMBOURG
1123,ALTMUENSTER (PLATEAU),LUXEMBOURG,LUXEMBOURG
1124,ALZETTE (BOULEVARD DE L'),LUXEMBOURG,LUXEMBOURG
1125,AMELIE (AVENUE),LUXEMBOURG,LUXEMBOURG
1126,AMSTERDAM (RUE D'),LUXEMBOURG,LUXEMBOURG
1127,ANDRE (SQUARE EDOUARD),LUXEMBOURG,LUXEMBOURG
1128,ANDRE (VAL ST.),LUXEMBOURG,LUXEMBOURG
1129,ANEMONES (RUE DES),LUXEMBOURG,LUXEMBOURG
1130,ANVERS (RUE D'),LUXEMBOURG,LUXEMBOURG
1131,ANTOINE (RUE),LUXEMBOURG,LUXEMBOURG
1132,ARC (PLACE JEANNE D'),LUXEMBOURG,LUXEMBOURG
1133,ARDENNES (RUE DES),LUXEMBOURG,LUXEMBOURG
1134,ARENDT (RUE CHARLES),LUXEMBOURG,LUXEMBOURG
1135,ARCHIDUCS (AVENUE DES),LUXEMBOURG,LUXEMBOURG
1136,ARMES (PLACE D'),LUXEMBOURG,LUXEMBOURG
1137,ARMSTRONG (RUE NEIL),HOWALD,LUXEMBOURG
1138,ARQUEBUSIERS (RUE DES),LUXEMBOURG,LUXEMBOURG
1139,SEPT-ARPENTS (RUE DES) N° 1-102,LUXEMBOURG,LUXEMBOURG
1140,ARLON (ROUTE D') N° IMPAIR 1-113,LUXEMBOURG,LUXEMBOURG
1140,ARLON (ROUTE D') N° PAIR 2-58,LUXEMBOURG,LUXEMBOURG
1141,ARTISANS (RUE DES),LUXEMBOURG,LUXEMBOURG
1141,HAEREWISS (BEI DER),LUXEMBOURG,LUXEMBOURG
1142,ASPELT (RUE PIERRE D'),LUXEMBOURG,LUXEMBOURG
1143,ASTRID (RUE),LUXEMBOURG,LUXEMBOURG
1144,ANCIEN ATHENEE (RUE DE L'),LUXEMBOURG,LUXEMBOURG
1144,ATHENEE (RUE DE L'ANCIEN),LUXEMBOURG,LUXEMBOURG
1145,AUBEPINES (RUE DES),LUXEMBOURG,LUXEMBOURG
1146,AUSONE (RUE),LUXEMBOURG,LUXEMBOURG
1147,AVENIR (RUE DE L'),LUXEMBOURG,LUXEMBOURG
1148,AVEUGLE (RUE JEAN L'),LUXEMBOURG,LUXEMBOURG
1149,SEPT-ARPENTS (RUE DES) N° 103-999,LUXEMBOURG,LUXEMBOURG
1150,ARLON (ROUTE D') N° IMPAIR 115-999,LUXEMBOURG,LUXEMBOURG
1150,ARLON (ROUTE D') N° PAIR 60-998,LUXEMBOURG,LUXEMBOURG
1151,ALBRECHT (RUE PAUL),LUXEMBOURG,LUXEMBOURG
1152,SAINTE THERESE D'AVILA (RUE),LUXEMBOURG,LUXEMBOURG
1152,THERESE D'AVILA (RUE SAINTE),LUXEMBOURG,LUXEMBOURG
1152,AVILA (RUE SAINTE THERESE D'),LUXEMBOURG,LUXEMBOURG
1153,AIGNER (RUE HEINRICH),LUXEMBOURG,LUXEMBOURG
1159,AVALON (RUE D'),LUXEMBOURG,LUXEMBOURG
1160,AVRANCHES (BOULEVARD D'),LUXEMBOURG,LUXEMBOURG
1161,CHINGIZ T. AITMATOV (RUE),LUXEMBOURG,LUXEMBOURG
1161,AITMATOV (RUE CHINGIZ T.),LUXEMBOURG,LUXEMBOURG
1208,BACLESSE (RUE FRANCOIS),LUXEMBOURG,LUXEMBOURG
1209,BLEUETS (DOMAINE DES),SENNINGERBERG,LUXEMBOURG
1210,BARBLE (RUE NICOLAS-ERNEST),LUXEMBOURG,LUXEMBOURG
1211,BADEN-POWELL (BOULEVARD),LUXEMBOURG,LUXEMBOURG
1212,BAINS (RUE DES),LUXEMBOURG,LUXEMBOURG
1213,BALDAUFF-ROTHERMEL (RUE CAROLINE),LUXEMBOURG,LUXEMBOURG
1214,BARRES (RUE MAURICE),LUXEMBOURG,LUXEMBOURG
1215,BARRIERE (RUE DE LA),LUXEMBOURG,LUXEMBOURG
1216,BARTHOLMY (RUE),HOWALD,LUXEMBOURG
1217,BASTOGNE (RUE DE),LUXEMBOURG,LUXEMBOURG
1218,BAUDOUIN (RUE),LUXEMBOURG,LUXEMBOURG
1219,BEAUMONT (RUE),LUXEMBOURG,LUXEMBOURG
1220,BEGGEN (RUE DE) N° PAIR,LUXEMBOURG,LUXEMBOURG
1221,BEGGEN (RUE DE) N° IMPAIR,LUXEMBOURG,LUXEMBOURG
1222,BECK (RUE),LUXEMBOURG,LUXEMBOURG
1223,BECK (RUE VICTOR),HOWALD,LUXEMBOURG
1224,BEETHOVEN (RUE LUDWIG VAN),LUXEMBOURG,LUXEMBOURG
1225,BEATRIX DE BOURBON (RUE),LUXEMBOURG,LUXEMBOURG
1225,BOURBON (RUE BEATRIX DE),LUXEMBOURG,LUXEMBOURG
1226,BEICHT (RUE JEAN-PIERRE),LUXEMBOURG,LUXEMBOURG
1227,BELLE-VUE (RUE),LUXEMBOURG,LUXEMBOURG
1228,BELLE-VUE (RUE),HOWALD,LUXEMBOURG
1229,BENDER (RUE),LUXEMBOURG,LUXEMBOURG
1230,BERTELS (RUE JEAN),LUXEMBOURG,LUXEMBOURG
1231,BERCHEM (AVENUE),HOWALD,LUXEMBOURG
1232,BERES (RUE ERNEST),HOWALD,LUXEMBOURG
1233,BERTHOLET (RUE JEAN),LUXEMBOURG,LUXEMBOURG
1234,BEVING (RUE MARGUERITE-SERAPHINE),LUXEMBOURG,LUXEMBOURG
1235,BIAN (RUE EMILE),LUXEMBOURG,LUXEMBOURG
1236,BIRTHON (RUE MATHIAS),LUXEMBOURG,LUXEMBOURG
1237,BISCHOFF (RUE),LUXEMBOURG,LUXEMBOURG
1238,BISSERWEG,LUXEMBOURG,LUXEMBOURG
1239,BIWER (RUE JOSEPH),SENNINGERBERG,LUXEMBOURG
1240,BERNHOEFT (RUE CHARLES),LUXEMBOURG,LUXEMBOURG
1241,BLANC (RUE PIERRE),LUXEMBOURG,LUXEMBOURG
1242,BLEUETS (RUE DES),LUXEMBOURG,LUXEMBOURG
1243,BLOCHAUSEN (RUE FELIX DE),LUXEMBOURG,LUXEMBOURG
1244,BOCH (RUE JEAN-FRANCOIS),LUXEMBOURG,LUXEMBOURG
1245,BOIS (RUE DU),SENNINGERBERG,LUXEMBOURG
1246,BORSCHETTE (RUE ALBERT),LUXEMBOURG,LUXEMBOURG
1247,BOUCHERIE (RUE DE LA),LUXEMBOURG,LUXEMBOURG
1247,GELLE KLACK (PASSAGE),LUXEMBOURG,LUXEMBOURG
1247,KLACK (PASSAGE GELLE),LUXEMBOURG,LUXEMBOURG
1248,BOUILLON (RUE DE),LUXEMBOURG,LUXEMBOURG
1249,FORT BOURBON (RUE DU),LUXEMBOURG,LUXEMBOURG
1249,BOURBON (RUE DU FORT),LUXEMBOURG,LUXEMBOURG
1250,BOIS (AVENUE DU) N° 46-999,LUXEMBOURG,LUXEMBOURG
1251,BOIS (AVENUE DU) N° 1-45,LUXEMBOURG,LUXEMBOURG
1252,BOURG-GEMEN (RUE MELCHIOR),LUXEMBOURG,LUXEMBOURG
1253,BOVE (RUE NICOLAS),LUXEMBOURG,LUXEMBOURG
1254,BRABANT (RUE MARGUERITE DE),LUXEMBOURG,LUXEMBOURG
1255,BRAGANCE (RUE DE),LUXEMBOURG,LUXEMBOURG
1256,BRANDENBOURGER (RUE PIERRE),LUXEMBOURG,LUXEMBOURG
1257,BRAUNSHAUSEN (RUE NICOLAS),LUXEMBOURG,LUXEMBOURG
1258,BRASSEUR (RUE JEAN-PIERRE),LUXEMBOURG,LUXEMBOURG
1259,BREEDEWUES,SENNINGERBERG,LUXEMBOURG
1260,BONNEVOIE (RUE DE) N° 1-100,LUXEMBOURG,LUXEMBOURG
1261,BONNEVOIE (RUE DE) N° 101-999,LUXEMBOURG,LUXEMBOURG
1262,BRICHERHOF (SENTIER DE),LUXEMBOURG,LUXEMBOURG
1263,BRIAND (RUE ARISTIDE),LUXEMBOURG,LUXEMBOURG
1264,BRIDEL (RUE DE),LUXEMBOURG,LUXEMBOURG
1265,PEPIN LE BREF (RUE),LUXEMBOURG,LUXEMBOURG
1265,BREF (RUE PEPIN LE),LUXEMBOURG,LUXEMBOURG
1266,BECKIUS (RUE JEAN-PIERRE),LUXEMBOURG,LUXEMBOURG
1267,BRUCH (RUE ROBERT),LUXEMBOURG,LUXEMBOURG
1268,BIERMANN (RUE JEAN-PIERRE),LUXEMBOURG,LUXEMBOURG
1269,BUSBACH (RUE MARGUERITE DE),LUXEMBOURG,LUXEMBOURG
1270,BONGERT (AM),LUXEMBOURG,LUXEMBOURG
1271,BYRNE (RUE THOMAS),LUXEMBOURG,LUXEMBOURG
1272,BOURGOGNE (RUE DE),LUXEMBOURG,LUXEMBOURG
1273,BITBOURG (RUE DE),LUXEMBOURG,LUXEMBOURG
1274,BRUYERES (RUE DES),HOWALD,LUXEMBOURG
1275,BEINCHEN (BEIM),LUXEMBOURG,LUXEMBOURG
1276,BEFFORT (RUE ANNE),LUXEMBOURG,LUXEMBOURG
1277,BOISSAUX (RUE RY),LUXEMBOURG,LUXEMBOURG
1278,BOURG (RUE TONY),LUXEMBOURG,LUXEMBOURG
1279,BRADLEY (RUE GENERAL OMAR N.),LUXEMBOURG,LUXEMBOURG
1280,BROCQUART (RUE DU PERE JACQUES),LUXEMBOURG,LUXEMBOURG
1281,BRILL (BOULEVARD DU),LUXEMBOURG,LUXEMBOURG
1282,BINGEN (RUE HILDEGARD VON),LUXEMBOURG,LUXEMBOURG
1283,BEAUVOIR (RUE SIMONE DE),LUXEMBOURG,LUXEMBOURG
1309,CHARLES IV (RUE),LUXEMBOURG,LUXEMBOURG
1310,CALMES (RUE ALBERT),LUXEMBOURG,LUXEMBOURG
1311,CAHEN (BOULEVARD MARCEL),LUXEMBOURG,LUXEMBOURG
1312,CALMETTE (RUE CHARLES),LUXEMBOURG,LUXEMBOURG
1313,CAPUCINS (RUE DES),LUXEMBOURG,LUXEMBOURG
1313,MANDERSCHEID (PASSAGE ROGER),LUXEMBOURG,LUXEMBOURG
1314,CAPUS (RUE GUILLAUME),LUXEMBOURG,LUXEMBOURG
1315,CARIGNAN (RUE DE),LUXEMBOURG,LUXEMBOURG
1316,CARRIERES (RUE DES),LUXEMBOURG,LUXEMBOURG
1317,CATHERINE (RUE STE.),LUXEMBOURG,LUXEMBOURG
1318,CELTES (RUE DES),LUXEMBOURG,LUXEMBOURG
1319,CENTS (RUE),LUXEMBOURG,LUXEMBOURG
1319,CENTS (RUE DU),FINDEL,LUXEMBOURG
1320,CESSANGE (RUE DE) N° 1-90,LUXEMBOURG,LUXEMBOURG
1321,CESSANGE (RUE DE) N° 91-999,LUXEMBOURG,LUXEMBOURG
1322,CERISIERS (RUE DES),LUXEMBOURG,LUXEMBOURG
1323,CHAMPS (RUE DES),LUXEMBOURG,LUXEMBOURG
1324,CHALOP (RUE JEAN),LUXEMBOURG,LUXEMBOURG
1325,CHAPELLE (RUE DE LA),LUXEMBOURG,LUXEMBOURG
1326,CHARLES (RUE AUGUSTE),LUXEMBOURG,LUXEMBOURG
1327,CHARLES VI (RUE),LUXEMBOURG,LUXEMBOURG
1327,VI (RUE CHARLES),LUXEMBOURG,LUXEMBOURG
1328,CHARLEMAGNE (RUE),LUXEMBOURG,LUXEMBOURG
1329,CHATEAU (RUE DU),LUXEMBOURG,LUXEMBOURG
1330,GRANDE-DUCHESSE CHARLOTTE (BOULEVARD) N° PAIR,LUXEMBOURG,LUXEMBOURG
1330,CHARLOTTE (BOULEVARD GRANDE-DUCHESSE) N° PAIR,LUXEMBOURG,LUXEMBOURG
1331,GRANDE-DUCHESSE CHARLOTTE (BOULEVARD) N° IMPAIR,LUXEMBOURG,LUXEMBOURG
1331,CHARLOTTE (BOULEVARD GRANDE-DUCHESSE) N° IMPAIR,LUXEMBOURG,LUXEMBOURG
1332,CHICAGO (RUE DE),LUXEMBOURG,LUXEMBOURG
1333,CHIMAY (RUE),LUXEMBOURG,LUXEMBOURG
1335,CICIGNON (RUE JEAN-GASPARD DE),LUXEMBOURG,LUXEMBOURG
1336,CIGALES (RUE DES),LUXEMBOURG,LUXEMBOURG
1337,CIMENTERIE (RUE DE LA),LUXEMBOURG,LUXEMBOURG
1338,CIMETIERE (RUE DU),LUXEMBOURG,LUXEMBOURG
1339,CORNICHE (CHEMIN DE LA),LUXEMBOURG,LUXEMBOURG
1340,CHURCHILL (PLACE WINSTON),LUXEMBOURG,LUXEMBOURG
1341,CLAIREFONTAINE (RUE DE),LUXEMBOURG,LUXEMBOURG
1341,CLAIREFONTAINE (PLACE DE),LUXEMBOURG,LUXEMBOURG
1342,CLAUSEN (RUE DE),LUXEMBOURG,LUXEMBOURG
